Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Engineers India Ltd.,ENGINERSIN,Construction,EQ,57,58.95,56.6,57,58.8,1.8,3.16,751759,43752373.8,82.5,56,-28.39,-8.51
EPL Ltd.,EPL,Capital Goods,EQ,150.1,159.95,149.3,149.15,156.5,7.35,4.93,220028,34181349.8,291,147.15,-46.73,-9.19
Equitas Holdings Ltd.,EQUITAS,Financial Services,EQ,82.4,83,81.5,82,82.55,0.55,0.67,198014,16282691.22,145,75,-12.77,-12.11
Equitas Small Finance Bank Ltd.,EQUITASBNK,Financial Services,EQ,39.4,39.5,38.8,39.45,39.5,0.05,0.13,160741,6302654.61,76.8,37.45,-33.08,-2.95
Eris Lifesciences Ltd.,ERIS,Healthcare,EQ,670.55,670.55,648.45,667.2,651,-16.2,-2.43,8326,5464104.02,863,600.3,-5.7,-0.09
Escorts Kubota Ltd.,ESCORTS,Capital Goods,EQ,1449.95,1471.7,1424.55,1444.8,1467.2,22.4,1.55,489734,708072109.2,1934,1128,18.42,-11.36
Exide Industries Ltd.,EXIDEIND,Automobile and Auto Components,EQ,137.5,141.95,136.8,137.8,141.95,4.15,3.01,854228,119053756.4,204.9,130.25,-24.43,-5.91
Fertilisers and Chemicals Travancore Ltd.,FACT,Chemicals,EQ,96.4,96.4,93.4,96.4,95,-1.4,-1.45,227181,21543574.23,159.9,82.35,-30.17,-22.51
FDC Ltd.,FDC,Healthcare,EQ,239.8,255,233.45,238.65,248,9.35,3.92,40209,9696400.35,388.7,225,-32.58,-3.01
Federal Bank Ltd.,FEDERALBNK,Financial Services,EQ,90.55,94.35,89.3,90.2,94.05,3.85,4.27,16073373,1482447192,107.65,77.5,3.56,1.52
Finolex Cables Ltd.,FINCABLES,Capital Goods,EQ,374,381.95,371.35,376.3,376.3,-,-,49522,18673755.76,608.6,343.5,-27.61,1.51
Fine Organic Industries Ltd.,FINEORG,Chemicals,EQ,4804.45,4898.35,4780,4797.9,4840,42.1,0.88,25788,124989020.5,6139.9,2734.55,65.76,-1.46
Finolex Industries Ltd.,FINPIPE,Capital Goods,EQ,135.8,137.5,134.1,136.2,137.2,1,0.73,118082,16022546.58,244.5,125,-25.96,-13.25
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,EQ,2800.25,2807.4,2696.95,2774.95,2755,-19.95,-0.72,44957,124253505.3,3198.9,1034.1,138.9,-3.89
Fortis Healthcare Ltd.,FORTIS,Healthcare,EQ,236.65,238,232.3,240,235.5,-4.5,-1.88,536057,125769693.3,313.45,219.75,-1.4,0.82
Firstsource Solutions Ltd.,FSL,Information Technology,EQ,102.5,104.3,101.35,102.9,103.7,0.8,0.78,1265235,130116767.4,242.85,93,-44.96,-7.34
Gujarat Ambuja Exports Ltd.,GAEL,Fast Moving Consumer Goods,EQ,280,282.6,268.05,282.7,273.15,-9.55,-3.38,245672,67483641.68,394.15,150.05,62.85,-15.99
GAIL (India) Ltd.,GAIL,Oil Gas & Consumable Fuels,EQ,134.1,136.4,131,135.2,132.6,-2.6,-1.92,10077624,1336595271,173.5,125.2,-9.66,-8.15
Galaxy Surfactants Ltd.,GALAXYSURF,Chemicals,EQ,2934.6,2934.6,2838,2920.05,2849.95,-70.1,-2.4,18915,53998352.85,3585.65,2585,-3.4,1.68
Garware Technical Fibres Ltd.,GARFIBRES,Textiles,EQ,3093.75,3093.75,2972.35,3078.35,3000.5,-77.85,-2.53,4359,13258639.53,4030,2619.8,-9.01,3.57
